,name,r_ext,r_com,hsig,lsig
0,in,3.4052084692148963,3.759875507097734,1.106,1.0184
1,mid,7.602821661179435,8.404854524443046,1.051,0.9721
2,out,13.362102688208534,14.124220306174642,1.0294,0.9572
