,name,r_ext,r_com,hsig,lsig
0,in,3.4052084692148963,3.759875507097734,-0.1043,-0.0955
1,mid,7.602821661179435,8.404854524443046,-0.1781,-0.1917
2,out,13.362102688208534,14.124220306174642,-0.2544,-0.2611
