,name,r_ext,r_com,ext,com
0,in,4.370011556351596,2.6682844800746093,0.0046,0.0049
1,mid,9.68377989162667,6.026420526939415,0.0058,0.0049
2,out,15.980472246111297,10.148552087921578,0.0092,0.0062
