,plateifu,M*,sigma,min,mout,ext,hsig
92,11024-12705,11.593937837394794,2.418597,11.240079497426885,11.122950334945118,0.0,0.0
93,11024-3701,11.517355521587852,2.4511483,11.234221016073779,10.84717807730411,1.0,-1.0
94,11025-6104,11.414888264524105,2.441444,11.126535965462669,10.833415820642571,0.0,-1.0
95,11742-6101,11.392875517983818,2.4195876,11.146512433964213,10.7306334759047,1.0,-1.0
96,11742-9101,11.443965616200654,2.4124067,11.0911743371116,10.939745592139161,-1.0,0.0
97,11743-1902,11.206331287985225,2.3324995,11.085166031341165,10.161812442044344,1.0,0.0
98,11743-3702,11.330131840452406,2.4670959,11.157216424809093,10.476640701622285,1.0,0.0
99,11744-3701,11.268309045770051,2.3516266,11.101461846627208,10.409676927888924,1.0,0.0
100,11745-3702,11.641554814812064,2.4962285,11.316997010063579,11.112549209169275,1.0,-1.0
101,11745-6102,11.416933078223263,2.3965597,11.164179479773765,10.722348975106733,1.0,-1.0
102,11745-9102,11.665139079011315,2.441989,11.211479821028721,11.305848961655531,-1.0,0.0
103,11746-6103,11.340913947648973,2.4626448,11.121522165151084,10.62175386290534,1.0,-1.0
104,11747-12704,11.887034504402354,2.5183618,11.43359495222111,11.534057630960634,0.0,0.0
105,11747-6103,11.36824394910095,2.4316542,11.132911730793493,10.686317257659448,1.0,-1.0
106,11747-6104,11.426767272171524,2.466377,11.156685965054557,10.799071940905439,1.0,-1.0
107,11748-6104,11.589746749516568,2.4279916,11.227587181667277,11.109828657390985,0.0,0.0
108,11749-3702,11.324475284131898,2.3726885,10.976026846188518,10.816198045996027,-1.0,0.0
109,11749-6101,11.34939598933231,2.3746586,11.10738616986257,10.669300719198054,0.0,0.0
110,11752-3701,11.28195440793717,2.33825,11.024479368253537,10.65461083698809,-1.0,1.0
111,11752-6101,11.60347790927619,2.4206965,11.25676129484959,11.14161920322019,0.0,0.0
112,11752-6102,11.319736557180883,2.323288,11.085393565982207,10.608692969515742,0.0,1.0
113,11752-9101,11.290631676599315,2.3888671,11.01244944796411,10.700571515948281,-1.0,0.0
114,11753-9102,11.558776804491304,2.4150853,11.185548666523767,11.124361587277894,-1.0,0.0
115,11754-12703,11.32334816627128,2.316636,10.98211384942173,10.809301867548742,-1.0,1.0
116,11754-3702,11.20287954866755,2.291931,10.994318110502727,10.466477889418432,0.0,1.0
117,11754-3703,11.267369119413601,2.3257406,11.12127466574442,10.303576008639105,1.0,0.0
118,11755-3701,11.457275804595495,2.4514594,11.18797734674653,10.847626451622935,1.0,-1.0
119,11757-6102,11.398744876084075,2.415073,11.18014462756562,10.744897375179681,1.0,-1.0
120,11757-9102,11.36119341594604,2.3568676,11.06726460498632,10.820587718939818,-1.0,1.0
121,11760-6104,11.416509086126815,2.454458,11.12284402104298,10.868905201966198,0.0,-1.0
122,11761-6101,11.380547249019546,2.3209338,11.113997860662138,10.786977401329056,0.0,1.0
123,11761-9102,11.731074806030772,2.5002456,11.264441153963958,11.417834982660272,-1.0,-1.0
124,11823-12701,11.540879014925768,2.3991919,11.172875349376872,11.07006614730073,-1.0,0.0
125,11824-12703,11.606324535931124,2.4606905,11.263378021178495,11.123800752478825,0.0,-1.0
126,11824-12704,11.232687956224241,2.3531468,10.965670792818617,10.650073640531755,-1.0,0.0
127,11826-9102,11.334132302702907,2.4118004,11.038433495959495,10.769095860321707,-1.0,-1.0
128,11827-3702,11.541833643183608,2.4916975,11.30209370667445,10.853057863372857,1.0,-1.0
129,11828-12701,11.608919636043701,2.4020264,11.180857736992397,11.234788631805678,-1.0,1.0
130,11828-6103,11.764750228126648,2.443811,11.380701687640833,11.309748773084497,1.0,0.0
131,11828-6104,11.297751155355572,2.3423593,11.037032646515021,10.671282263941208,0.0,1.0
132,11830-3701,11.329166772119159,2.2859602,11.063575672794268,10.712763774167943,0.0,1.0
133,11830-9101,11.212619614088116,2.406635,10.981452855905165,10.55611125557737,-1.0,-1.0
134,11831-3703,11.3448044754371,2.3938699,11.068760583341284,10.805445941286264,-1.0,0.0
135,11833-9101,11.228683588578486,2.3351622,10.989643799357443,10.542032061302187,0.0,1.0
136,11834-6101,11.498092102336216,2.4368324,11.146636943851142,11.050834483493476,-1.0,-1.0
137,11836-3703,11.453621554492207,2.3880525,11.184834105519734,10.885626781952814,0.0,0.0
138,11838-3703,11.410298763240199,2.4178455,11.060914504143021,10.910415709564571,-1.0,-1.0
139,11838-6102,11.519581361840807,2.4221303,11.200753932461895,10.970918717435401,0.0,-1.0
140,11838-6104,11.620470087294894,2.4650626,11.248376105878174,11.158157026736765,0.0,-1.0
141,11863-6101,11.495830755561977,2.476095,11.195816065914524,10.93031061696933,0.0,-1.0
142,11863-6102,11.475933768337704,2.4297533,11.195812367201608,10.868686587248842,1.0,-1.0
143,11866-12704,11.377084171185869,2.4248705,10.756636739007996,11.0514233021415,0.0,0.0
144,11867-6102,11.3655612050323,2.4001443,11.155047986124483,10.620456167737363,1.0,-1.0
145,11868-6103,11.339859353135225,2.4175835,11.136362271203767,10.550027638366812,1.0,-1.0
146,11872-12703,11.295721414347254,2.3343,10.888167500676088,10.89575185164862,0.0,1.0
147,11872-1901,11.257126817113113,2.314876,11.07028252344156,10.431948699191095,1.0,1.0
148,11872-6103,11.30903792115869,2.3397892,11.117818923527906,10.382995127845295,1.0,0.0
149,11940-9101,11.351097200521043,2.392476,11.047403616124232,10.752386152954106,-1.0,0.0
150,11944-12705,11.37350799587468,2.2743728,11.013201730796386,10.90856449657575,-1.0,0.0
151,11944-6101,11.212682075546631,2.2992833,11.032752396547405,10.3594584830004,1.0,1.0
152,11944-9102,11.52551518820912,2.4611108,11.205842068413984,10.981196855832945,0.0,-1.0
153,11946-12705,11.225875627842075,2.2964344,10.89820140276957,10.708630805005088,-1.0,1.0
154,11946-6104,11.4810192580886,2.353585,11.127076506834774,10.99599215104185,-1.0,1.0
155,11947-12702,11.669210860531471,2.422725,11.19251947016745,11.330466477272646,-1.0,0.0
156,11947-3701,11.531044427054898,2.414853,11.183942752393689,11.058936218232747,0.0,0.0
157,11947-6101,11.562026075031968,2.425382,11.21873213010251,11.078336558075211,0.0,0.0
158,11948-12705,11.572814438166573,2.455937,11.222260584037427,11.114155575250027,0.0,-1.0
159,11948-6103,11.69109678232619,2.3880055,11.142898479263582,11.371614239588167,-1.0,1.0
160,11949-12704,11.400647850860935,2.377982,11.040834370339136,10.911447724463548,-1.0,0.0
161,11949-6102,11.290442525743092,2.331314,11.020004669098652,10.726636767193456,-1.0,1.0
162,11949-6103,11.613254540056854,2.4766612,11.280019401068186,11.132758800177553,1.0,-1.0
163,11950-12703,11.264354787282858,2.2919617,10.879184237277382,10.730547782554057,-1.0,1.0
164,11950-9102,11.615334811538103,2.423443,11.263776537530346,11.11890263482188,0.0,0.0
165,11951-6102,11.499050062926464,2.4234304,11.15302137048049,10.959981192245284,0.0,-1.0
166,11951-9101,11.545147128117158,2.4987552,11.197898574980353,11.094966561185595,0.0,-1.0
167,11952-9101,11.496793324883903,2.4309328,11.113869139794573,11.069481374074554,-1.0,-1.0
168,11953-6102,11.546024082416665,2.3586175,11.25082718274259,11.002454425235547,1.0,1.0
169,11953-9102,11.339768935903459,2.3945363,10.990048552961467,10.877256436529878,-1.0,0.0
170,11957-6104,11.472512446788171,2.3557475,11.16338419534259,10.905596194443104,0.0,1.0
171,11958-12703,11.56917189910651,2.3714144,11.092837591547891,11.23996712721096,-1.0,1.0
172,11960-3702,11.250632266362171,2.2740786,11.043892733340734,10.48311058205492,1.0,1.0
173,11960-3703,11.301124180202443,2.3434672,11.119241491056655,10.494447715019724,1.0,0.0
174,11960-9102,11.413877182242096,2.4527955,11.200025238827967,10.639597117659232,1.0,-1.0
175,11962-1901,11.381559250662923,2.37933,11.210325609850722,10.488592363259368,1.0,-1.0
176,11962-3703,11.32529668049547,2.347971,11.099899537373712,10.640787748933416,1.0,0.0
177,11962-9102,11.474839069871374,2.4464195,11.114249340443155,11.023635580387895,-1.0,-1.0
178,11963-3701,11.314702985874238,2.4624116,11.148465641661769,10.42373841980669,1.0,0.0
179,11965-6101,11.673068012285945,2.4548407,11.366928163705307,11.129511592047372,1.0,-1.0
180,11967-9101,11.32079313027238,2.3766298,11.138675708830261,10.480215298764364,1.0,-1.0
181,11969-12704,11.608010636065844,2.3972478,11.077609185735101,11.304677857239056,-1.0,1.0
182,11970-9102,11.251916869004496,2.3479748,11.047544835200267,10.424866981521765,1.0,0.0
183,11974-12705,11.39728597244724,2.4187088,11.092591100600806,10.8354995846136,0.0,-1.0
184,11974-3701,11.237906692041273,2.2384875,11.088802772251263,10.343972789710948,1.0,1.0
185,11974-3702,11.343202720854059,2.2872133,11.114118595451698,10.617156718958421,1.0,1.0
186,11975-6102,11.317266416336068,2.2926998,11.02767058169226,10.705604665655237,-1.0,1.0
187,11975-9101,11.589907029136352,2.3585048,11.083032314025468,11.2583101702867,-1.0,1.0
188,11975-9102,11.29528273226436,2.2743921,11.045644662515917,10.553518616719707,0.0,1.0
189,11976-12704,11.266417848718321,2.335655,11.046335933727857,10.495662820569205,1.0,0.0
190,11977-3703,11.401183868338057,2.360038,11.100270150188356,10.872258017568972,-1.0,1.0
191,11979-12701,11.628755472737344,2.385748,11.223863549457237,11.243209088494934,-1.0,1.0
192,11979-3701,11.400006082748533,2.2691126,11.039659864377215,10.84206976477019,-1.0,1.0
193,11980-6103,11.246763483922358,2.289727,11.079940458049174,10.341386016413477,1.0,1.0
194,11981-12705,11.23571566678,2.3736017,10.955177945903253,10.625098700563106,-1.0,0.0
195,11981-3704,11.399388926654138,2.2793121,11.124349121906558,10.792527160199665,0.0,1.0
196,11982-6103,11.53671354120496,2.4608276,11.215626951728657,11.024257408994956,0.0,-1.0
197,11983-12703,11.286081500925686,2.3762598,10.948891917260752,10.783288159758698,-1.0,0.0
198,11983-12704,11.751271356255538,2.4467125,11.209511465615666,11.444126421841048,-1.0,0.0
199,11983-6101,11.48035101375281,2.4149368,11.147345861894546,10.937590201171734,0.0,0.0
200,11983-6102,11.201447910804712,2.361524,10.983596370891153,10.359291908855866,0.0,-1.0
201,11983-9101,11.224788570690965,2.2544713,10.975884642887763,10.418309147634492,0.0,1.0
202,11984-6104,11.335733897094904,2.2765968,11.119317768157108,10.510587355266301,1.0,1.0
203,12067-6103,11.592170406672102,2.4600208,11.241214743791868,11.101000570392218,0.0,-1.0
204,12068-12702,11.428928642877866,2.3683984,11.161855593052497,10.802496190332612,1.0,0.0
205,12068-6101,11.624686859261743,2.3939152,11.271103186064277,11.138211429930863,0.0,1.0
206,12069-3701,11.467753424721895,2.4192703,11.201990485262353,10.84863120913772,1.0,-1.0
207,12069-3704,11.465846656660506,2.4199228,11.276292896420053,10.672702613032076,1.0,-1.0
208,12069-9102,11.449104142211425,2.3659017,11.215271732144224,10.731969570576094,1.0,0.0
209,12070-12705,11.451889668888121,2.4028864,11.155942656126749,10.87000769801462,0.0,0.0
210,12071-6104,11.393890609961108,2.305768,11.189177561796019,10.674213930136103,1.0,1.0
211,12073-9102,11.695711746151176,2.4739974,11.352404342082382,11.220717634665355,1.0,-1.0
212,12075-12701,11.645610104993658,2.3979673,11.281340825438264,11.18130524530304,0.0,1.0
213,12075-9101,11.6526555764577,2.4179158,11.228477567446749,11.267660232771238,-1.0,0.0
214,12079-6104,11.462418692645633,2.3720496,11.15115861612601,10.925223842328768,0.0,1.0
215,12079-9102,11.255530183552986,2.2804413,11.051030753837523,10.452993060192311,1.0,1.0
216,12083-12704,11.385271598031652,2.3931406,11.114529946368659,10.773134593633053,0.0,0.0
217,12085-6104,11.467060019901172,2.4447207,11.10297226125254,10.9930334909087,-1.0,-1.0
218,12089-6102,11.216844732643562,2.3221047,11.09046004817252,9.7822908526631,0.0,0.0
219,12089-6104,11.411467375793457,2.373958,11.206833188514498,10.655665058571655,1.0,0.0
220,12090-3704,11.276468328663437,2.4615188,11.136000593078897,10.346581194847195,1.0,0.0
221,12090-6104,11.202990100753874,2.3585107,11.023924380775819,10.348350812632166,1.0,-1.0
222,12093-3701,11.363000015179269,2.3319895,11.11156005158922,10.758564113020988,0.0,1.0
223,12094-12703,11.438958333793352,2.3443775,11.181679535062848,10.776994561190113,1.0,1.0
224,12484-9102,11.340428532520987,2.380701,11.060593629530528,10.723572380314689,0.0,0.0
225,12485-12701,11.48717698667376,2.3017883,11.09531942292367,11.057640666930652,-1.0,1.0
226,12485-6104,11.264622011369939,2.3394823,11.086141478275403,10.400845894509137,1.0,0.0
227,12488-3701,11.2095945210207,2.3689015,10.965573789842999,10.468465641877732,0.0,-1.0
228,12489-6104,11.511171688121728,2.3657608,11.185258856583731,10.999058717458913,0.0,1.0
229,12495-3704,11.390851208451126,2.4055312,11.13132987598314,10.797616924344425,0.0,-1.0
230,12510-3703,11.59021638715307,2.3766303,11.193306121043465,11.18753040541041,-1.0,1.0
231,12511-12702,11.409175955273511,2.3780892,11.0654124442051,10.863793995808985,-1.0,0.0
232,12511-6102,11.448430676568789,2.3986979,11.133004430835282,10.927921000068169,0.0,0.0
233,12512-12704,11.611688713994674,2.3459089,11.220050293656715,11.182575328015712,0.0,1.0
234,12512-3702,11.24081996172719,2.3431365,11.042493786981932,10.497801698024702,0.0,0.0
235,12514-3701,11.542505715913558,2.357929,11.248398482205406,10.968892528678492,1.0,1.0
236,12514-6101,11.357329279062569,2.3516252,11.098867273375811,10.68802265206647,0.0,1.0
237,12518-6104,11.463586909389862,2.4815004,11.187782242330874,10.871636620774206,1.0,-1.0
238,12620-3702,11.41465814020917,2.386304,11.16779129548934,10.724388502307765,1.0,0.0
239,12621-6104,11.565845350001446,2.3838906,11.229509041875813,11.0533917933316,0.0,1.0
240,12624-6101,11.337967339840738,2.3939216,11.161647000102722,10.48868076957472,1.0,-1.0
241,12624-6103,11.714792440026331,2.4588013,11.30885586172521,11.289667953549005,0.0,-1.0
242,12624-6104,11.32600342329523,2.3161263,11.173924451172606,10.327739640958738,0.0,0.0
243,12651-12703,11.729507216955831,2.4432116,11.179488477653717,11.446691374116808,-1.0,0.0
244,12651-9102,11.315405179686698,2.301694,11.12450730393452,10.426587540256257,1.0,1.0
245,12652-3704,11.41637402414404,2.3780105,11.095642447696067,10.943821992330825,-1.0,1.0
246,12652-6102,11.331463894476693,2.3596275,11.11950956095852,10.577989050558386,1.0,0.0
247,12667-12704,11.334902799961426,2.3531308,10.98748094326421,10.828154255838712,-1.0,1.0
248,12675-6101,11.424052642881417,2.4056206,11.06280819278115,10.947992777765286,-1.0,0.0
249,12675-6104,11.614156850133009,2.42448,11.24655574754511,11.122611610144258,0.0,0.0
250,12675-9101,11.625019892444742,2.4179373,11.101461573494406,11.298620440663433,-1.0,0.0
251,12675-9102,11.435912707424853,2.3636205,11.088971820426499,10.977412768053982,-1.0,1.0
