,name,r_ext,r_com,ext,com
0,in,4.370011556351596,2.6682844800746093,1.0848,1.0352
1,mid,9.68377989162667,6.026420526939415,1.0316,1.005
2,out,15.980472246111297,10.148552087921578,1.0221,0.9859
